time,ax,ay,az,gx,gy,gz,mx,my,mz,ref1,ref2,ref3,ref4
0,5.316160383e-16,-6.579084319e-17,1.006747368,-0.1270689085,-0.07460733763,0.01570651823,752.1499724,-7.886134237e-13,-896.2862174,0.9984208276,0.05587280471,0.0001773076117,-0.005835175304
0.004999876022,0.008359135714,0.00130960134,0.9948640626,-0.1525651622,-0.1182115099,0.008305676314,741.2406949,1.450617703,-907.4054036,0.9984865754,0.05468546997,-0.0002314601505,-0.005831348551
0.009999990463,0.01358918944,0.003022170643,1.001863194,-0.5013601747,-0.5091242206,0.07141563779,739.8885717,-7.497420092,-907.4762361,0.9985761171,0.05300903034,-0.0004147675529,-0.005967337369
0.0150001049,0.01669051777,-0.0003753511395,0.9893999583,-0.4205409642,-0.2493801486,0.03482993668,757.9215232,-1.721912931,-907.1828755,0.9986677304,0.05123264554,-0.0005985524766,-0.00613367605
0.01999998093,0.01444784317,0.000503989157,0.9959354284,-0.3415910432,-0.4338049561,-0.02235836409,767.226153,-2.564014652,-905.6070043,0.9987394752,0.04979939481,-0.001077583903,-0.006190289055
0.02500009537,0.01896782075,-0.003614806334,0.9949259075,-0.3145226499,-0.1727580747,-0.06861435269,770.3293519,7.801864589,-890.3171892,0.998781723,0.04893070046,-0.002011574316,-0.006067114521
0.02999997139,0.0184179239,0.002410365756,1.002216404,-0.226793913,-0.003114108325,-0.1030237816,769.7779103,6.398853407,-881.9621847,0.9988025261,0.04846262378,-0.00327977019,-0.005842176383
0.03500008583,0.01965774753,0.002372521587,1.004304328,-0.8170556272,-0.2723461514,0.004959159728,765.2866643,-7.731989647,-882.1080435,0.9988243196,0.04792709113,-0.004505782748,-0.00571580805
0.03999996185,0.01273633936,0.002486337223,0.9942338953,-0.5140666001,-0.370062385,0.006561940988,759.4533209,-19.48940288,-885.0182814,0.9988714649,0.04683312195,-0.005261145623,-0.005897085649
0.04500007629,0.006874484096,0.003180356405,1.003901458,-0.5843018705,-0.6192883794,0.09710818459,747.2392588,-29.58201003,-914.6915648,0.9989533706,0.04496712541,-0.005318607289,-0.006467880516
0.04999995232,0.007361508594,0.002496889084,0.9983929015,-0.5234561433,-0.6726979406,-0.02288859727,755.7807352,-39.58414285,-931.4338151,0.999057661,0.0425142013,-0.004782571657,-0.007311610585
0.05500006676,0.001715017515,0.005074250544,1.010092617,-0.573559195,-1.172698543,-0.3863266863,762.9471979,-30.37284952,-929.402339,0.9991610927,0.03992891311,-0.004012735192,-0.008166432976
0.05999994278,0.001709405145,0.005122466338,1.00559427,0.1079403411,-0.4229251839,0.151546467,783.705722,-37.07780848,-919.0150039,0.9992468032,0.03764962869,-0.003404714646,-0.008760116175
0.06500005722,-0.0004063001254,0.006032888742,1.003175671,0.6145262471,0.3060504365,0.40413906,783.6896352,-37.08420182,-917.9002733,0.9993118945,0.03585315611,-0.003186716046,-0.008951737234
0.06999993324,-0.006945259781,0.0105434006,1.017220877,-0.9331075868,-0.1193905082,0.133419228,783.4634815,-37.17408122,-902.2290617,0.9993637646,0.03440442613,-0.003365564757,-0.008779210569
0.07500004768,-0.007805633294,0.0151266032,1.006944506,-1.232030156,-0.3004773479,-0.1056753392,784.2713587,-33.47057015,-872.9051532,0.9994123965,0.03301097875,-0.003823491198,-0.008397497209
