time,ax,ay,az,gx,gy,gz,mx,my,mz,ref1,ref2,ref3,ref4
0,-0.07354728392,0.06451926798,0.9714314051,-0.006003725696,-0.02950533245,0.03204977313,0.4100264905,0.02479384434,0.9117365531,0.9989253769,0.02754837123,0.04540717848,0.02051499166
0.011977,-0.07100575717,0.06137469811,0.9566344351,0.002637721645,-0.004368072102,0.06403362043,0.4067126823,0.03625366733,0.9128364945,0.9989323098,0.02727881411,0.0454671122,0.02040457077
0.023894,-0.07320366163,0.05292107916,0.9677892162,0.04016599685,0.1300407228,0.06378752152,0.4067126823,0.03625366733,0.9128364945,0.9989324619,0.02715451139,0.04557030014,0.02033260875
0.035977,-0.07003526182,0.05929933114,0.9723001744,0.01709098781,-0.1161690918,0.1221660228,0.4067126823,0.03625366733,0.9128364945,0.9989330295,0.02702795227,0.04566075947,0.02027030994
0.052913,-0.07740707645,0.0411191036,0.9569837233,-0.07718642952,0.0720166714,0.05977196069,0.3706377705,0.05223242402,0.9273076172,0.9989255372,0.02677018593,0.04593078082,0.020371295
0.064978,-0.08260874303,0.04837758852,0.9718774355,0.08132068102,-0.03028304779,-0.08048953889,0.3706377705,0.05223242402,0.9273076172,0.9989287941,0.02674217682,0.04594800158,0.02020889979
0.076975,-0.07542304436,0.03720178996,0.9696452031,0.04653488475,0.01886620626,0.1535587679,0.4121129207,0.02001130038,0.9109129972,0.9989267754,0.02669496039,0.04600826182,0.0202339904
0.089951,-0.07394857914,0.04670778489,0.9732654259,-0.02171831541,-0.0006280440894,0.1633347886,0.4121129207,0.02001130038,0.9109129972,0.9989232065,0.02671850238,0.04604467832,0.02029618022
0.105995,-0.07769660534,0.04424885668,0.9846973449,0.1299799482,0.08496231516,0.004269629488,0.4121129207,0.02001130038,0.9109129972,0.9989212749,0.02674438117,0.04604859946,0.02034819792
0.117939,-0.08142190353,0.05214968781,0.9731619116,-0.03537998912,0.001772700881,-0.05541832739,0.4081849619,0.01705581301,0.9127399061,0.9989176282,0.02678498214,0.04608429258,0.02039296139
0.130982,-0.08342931706,0.05766497992,0.9812510057,-0.07146794133,-0.06887776491,-0.1153225111,0.4081849619,0.01705581301,0.9127399061,0.998907546,0.02686994682,0.04617341719,0.02057265359
0.142954,-0.07335366778,0.06000697491,0.9800174941,0.02640024878,0.04285734936,0.004175442272,0.3906866865,0.04101139059,0.9196096883,0.9989031153,0.02692720125,0.04620279941,0.02064682595
0.158986,-0.0791895656,0.05030347227,0.9839979882,-0.04278951072,-0.02133280674,0.0111537723,0.3906866865,0.04101139059,0.9196096883,0.9989017473,0.02698702109,0.04618443888,0.02067596901
0.17198,-0.07305555865,0.05469883212,0.9856103065,-0.08700489209,-0.005532781591,-0.0204002709,0.3906866865,0.04101139059,0.9196096883,0.9988995373,0.02706845188,0.04617581263,0.02069554647
0.183984,-0.0707605194,0.05491743564,0.979856959,-0.01673101502,-0.04141300604,-0.1018799448,0.3963810716,0.03137563446,0.9175497892,0.9988998225,0.02703825762,0.04621086852,0.02064294174
0.195979,-0.06909607471,0.04904259455,0.9776268321,0.01877176667,-0.04469447583,0.1074064337,0.3963810716,0.03137563446,0.9175497892,0.9988989936,0.02704540851,0.04626769392,0.02054617056
