time,ax,ay,az,gx,gy,gz,mx,my,mz,ref1,ref2,ref3,ref4
0,0.01121503389,-0.00300528781,1.015595542,0.301585946,0.6128964095,0.1522553748,0.02337817538,-0.000573256731,-0.04671702212,1,0,0,0
0.0039,-0.01253689238,0.01046806171,1.018700389,0.300869574,0.6148093968,0.1539714755,0.02365978144,-0.0006707608718,-0.0468298323,0.9999990734,0.0005941446412,0.001188289282,0.0002970723206
0.0078,-0.02815349668,0.01120257314,1.006563263,0.3006002125,0.6157474083,0.1526805074,0.02325000008,-0.0006721538017,-0.04700185405,0.9999962934,0.001188288181,0.002376576363,0.0005941440907
0.0117,-0.005274863624,0.009336246656,1.027135893,0.3014814246,0.6167207305,0.1504218938,0.02396504699,-0.0005698126627,-0.04707277446,0.9999916602,0.001782429519,0.003564859038,0.0008912147596
0.0156,-0.02074988829,0.009631596189,0.9976900549,0.3013787768,0.6126259631,0.1543330964,0.02389466507,-0.001266592857,-0.04656902002,0.9999851737,0.002376567554,0.004753135107,0.001188283777
0.0195,-0.02842870256,-0.001099271042,1.006230364,0.3041187807,0.6145020635,0.1551747435,0.02411404518,-0.0009429130541,-0.04669234519,0.9999768339,0.002970701184,0.005941402367,0.001485350592
0.0234,-0.02755339984,-0.001896327968,1.014537985,0.3039270266,0.6159611,0.1556890081,0.02399170824,-0.0008280591469,-0.04659948311,0.9999666409,0.003564829308,0.007129658616,0.001782414654
0.0273,-0.02537278586,0.04426739841,0.9912749865,0.3011360883,0.6159021055,0.1537912776,0.02384929261,-0.001054926116,-0.04674886259,0.9999545947,0.004158950826,0.008317901652,0.002079475413
0.0312,-0.02059300712,0.01788049482,1.022661062,0.2990322751,0.6161309983,0.155234593,0.02430747283,-0.001281744594,-0.04662508212,0.9999406952,0.004753064636,0.009506129272,0.002376532318
0.0351,-0.01854236409,0.00958512704,1.028306394,0.3028995978,0.6181489937,0.1529941894,0.02422327592,-0.001508044403,-0.04622415297,0.9999249426,0.005347169637,0.01069433927,0.002673584819
0.039,-0.01701580363,0.009442786091,1.011126021,0.3010927737,0.6174260624,0.1536636655,0.02413854439,-0.001240171082,-0.04644900011,0.9999073368,0.005941264728,0.01188252946,0.002970632364
0.0429,-0.01872595992,0.0270656185,1.020165986,0.302906826,0.6135575275,0.1548887915,0.0246136039,-0.00127768952,-0.04655953045,0.9998878779,0.006535348809,0.01307069762,0.003267674404
0.0468,-0.02462878453,0.01929305525,1.012586142,0.3018346529,0.6160534151,0.1560217092,0.02485331465,-0.001276957585,-0.04653886145,0.9998665659,0.007129420777,0.01425884155,0.003564710389
0.0507,-0.03763443357,0.02163031523,1.003090662,0.3012897349,0.616424337,0.1528578253,0.02515777865,-0.001666386204,-0.0459903699,0.9998434009,0.007723479533,0.01544695907,0.003861739766
0.0546,-0.04703772908,0.03469371116,1.017078581,0.3053604976,0.6144696532,0.157083077,0.02473386991,-0.001788129952,-0.04631462446,0.9998183828,0.008317523975,0.01663504795,0.004158761987
0.0585,-0.008071663118,0.01823842163,1.000504252,0.3039141399,0.6162284807,0.1506498094,0.02510405978,-0.001795325262,-0.04587509827,0.9997915119,0.008911553002,0.017823106,0.004455776501
0.0624,-0.03208623464,0.02749295736,1.009615265,0.3018913413,0.6176398392,0.1552343167,0.02476060671,-0.002172021822,-0.04616203594,0.999762788,0.009505565513,0.01901113103,0.004752782756
0.0663,-0.04894734129,0.02068011367,0.9977644959,0.3037922215,0.615879529,0.1562617937,0.02511365311,-0.001888811817,-0.0462489248,0.9997322112,0.01009956041,0.02019912082,0.005049780204
