2018/10/02/14:20:13.825811;[];0;-3999;14769;929;1414;502;188;-993;1018;78;15;239;111;0
2018/10/02/14:20:13.837806;[];0;-3631;14593;1745;1288;512;338;-993;1018;78;83;239;111;0
2018/10/02/14:20:13.850814;[];0;-3423;15073;929;912;668;284;-993;1018;78;151;239;111;0
2018/10/02/14:20:13.862799;[];0;-3391;15361;-175;894;736;370;-987;1060;6;219;239;111;0
2018/10/02/14:20:13.878808;[];0;-3423;15505;321;758;778;352;-987;1060;6;31;240;111;0
2018/10/02/14:20:13.890809;[];0;-3359;16049;-463;638;726;552;-935;1066;-32;99;240;111;0
2018/10/02/14:20:13.903821;[];0;-3167;15281;-2095;580;944;748;-935;1066;-32;167;240;111;0
2018/10/02/14:20:13.915809;[];0;-3135;16225;-1631;540;850;846;-935;1066;-32;235;240;111;0
2018/10/02/14:20:13.931804;[];0;-3023;16769;-2351;514;976;642;-922;1114;-92;47;241;111;0
2018/10/02/14:20:13.944844;[];0;-3103;17249;-3311;428;760;592;-922;1114;-92;115;241;111;0
2018/10/02/14:20:13.956815;[];0;-3295;17601;-3471;236;612;658;-922;1114;-92;183;241;111;0
2018/10/02/14:20:13.968808;[];0;-3263;17697;-4031;122;488;668;-857;1126;-118;251;241;111;0
2018/10/02/14:20:13.985813;[];0;-3087;17361;-3599;-92;392;462;-857;1126;-118;80;242;111;0
2018/10/02/14:20:13.997811;[];0;-2991;17217;-3679;-306;14;466;-877;1144;-98;148;242;111;0
2018/10/02/14:20:14.009749;[];0;-2735;17537;-2991;-554;-34;400;-877;1144;-98;216;242;111;0
2018/10/02/14:20:14.022806;[];0;-2655;18433;-2847;-678;-214;350;-831;1144;-138;28;243;111;0
2018/10/02/14:20:14.038807;[];0;-2687;18465;-1471;-930;-236;420;-831;1144;-138;96;243;111;0
2018/10/02/14:20:14.050811;[];0;-2255;17985;-2127;-1200;-258;176;-831;1144;-138;164;243;111;0
2018/10/02/14:20:14.063825;[];0;-2239;18769;-1119;-1608;-386;518;-792;1156;-26;232;243;111;0
2018/10/02/14:20:14.075811;[];0;-2799;18673;-207;-1832;-280;582;-792;1156;-26;44;244;111;0
2018/10/02/14:20:14.091799;[];0;-2991;18769;-1295;-2352;-256;560;-786;1156;13;112;244;111;0
2018/10/02/14:20:14.103802;[];0;-2831;18289;897;-2890;-400;554;-786;1156;13;180;244;111;0
2018/10/02/14:20:14.116814;[];0;-2175;18849;1201;-3520;-436;656;-786;1156;13;248;244;111;0
2018/10/02/14:20:14.128832;[];0;-1999;18273;3473;-4068;-298;678;-741;1162;164;60;245;111;0
2018/10/02/14:20:14.140803;[];0;-1567;15137;4609;-4638;-104;790;-741;1162;164;128;245;111;0
2018/10/02/14:20:14.157814;[];0;-2495;14241;4849;-5132;-24;930;-741;1162;164;196;245;111;0
2018/10/02/14:20:14.169811;[];0;-1407;12321;5569;-5660;108;1124;-721;1114;309;8;246;111;0
2018/10/02/14:20:14.181808;[];0;-959;10193;6369;-6222;158;1610;-721;1114;309;93;246;111;0
2018/10/02/14:20:14.194973;[];0;17;9281;6337;-6664;68;2186;-689;1060;572;161;246;111;0
2018/10/02/14:20:14.210809;[];0;225;8769;8849;-6730;-26;2242;-689;1060;572;229;246;111;0
2018/10/02/14:20:14.222811;[];0;-15;11105;9505;-6952;-162;2568;-553;915;822;41;247;111;0
2018/10/02/14:20:14.235819;[];0;-655;10465;10529;-7054;-150;2722;-553;915;822;109;247;111;0
2018/10/02/14:20:14.247812;[];0;-511;10017;11233;-7016;-126;2732;-553;915;822;177;247;111;0
2018/10/02/14:20:14.263845;[];0;-463;6705;10993;-7146;-54;2500;-482;753;1006;245;247;111;0
2018/10/02/14:20:14.275826;[];0;113;4977;12545;-7250;-6;2430;-482;753;1006;57;248;111;0
2018/10/02/14:20:14.288834;[];0;465;1969;12241;-7080;-22;2274;-417;483;1164;125;248;111;0
2018/10/02/14:20:14.300816;[];0;1441;321;12929;-6924;-220;2114;-417;483;1164;193;248;111;0
2018/10/02/14:20:14.316813;[];0;1585;-1599;13825;-6690;-236;2008;-417;483;1164;5;249;111;0
2018/10/02/14:20:14.329814;[];0;1153;-1999;13313;-6272;-370;1934;-398;201;1276;73;249;111;0
2018/10/02/14:20:14.341807;[];0;2145;-3583;14097;-5710;-576;1816;-398;201;1276;141;249;111;0
2018/10/02/14:20:14.353806;[];0;2705;-6639;12257;-5150;-760;1554;-398;201;1276;209;249;111;0
2018/10/02/14:20:14.370790;[];0;3537;-6527;14321;-4542;-734;1272;-346;-27;1289;21;250;111;0
2018/10/02/14:20:14.382817;[];0;4529;-8095;14209;-4194;-830;888;-346;-27;1289;89;250;111;0
2018/10/02/14:20:14.394979;[];0;4881;-7439;15153;-3240;-708;738;-365;-261;1335;174;250;111;0
2018/10/02/14:20:14.407818;[];0;4769;-7583;16689;-2780;-684;272;-365;-261;1335;242;250;111;0
2018/10/02/14:20:14.419822;[];0;3681;-8335;15585;-2272;-352;-30;-294;-381;1243;54;251;111;0
2018/10/02/14:20:14.435832;[];0;2913;-8159;15169;-2008;-282;-324;-294;-381;1243;122;251;111;0
2018/10/02/14:20:14.448812;[];0;2449;-8255;14145;-1744;32;-442;-294;-381;1243;190;251;111;0
2018/10/02/14:20:14.460810;[];0;2641;-9039;12273;-1838;28;-480;-288;-477;1263;2;252;111;0
2018/10/02/14:20:14.472828;[];0;2865;-10271;10993;-2004;88;-468;-288;-477;1263;70;252;111;0
2018/10/02/14:20:14.488813;[];0;3185;-11711;10033;-2094;38;-442;-268;-561;1236;138;252;111;0
2018/10/02/14:20:14.501811;[];0;2961;-12015;9073;-2324;-42;-146;-268;-561;1236;206;252;111;0
2018/10/02/14:20:14.513811;[];0;2993;-12591;9729;-2676;-184;58;-268;-561;1236;18;253;111;0
2018/10/02/14:20:14.525817;[];0;3665;-13055;8897;-2892;-324;258;-236;-645;1125;86;253;111;0
2018/10/02/14:20:14.542814;[];0;2721;-13647;10657;-3294;-186;438;-236;-645;1125;154;253;111;0
2018/10/02/14:20:14.554809;[];0;3313;-14175;10481;-3418;-340;640;-236;-645;1125;222;253;111;0
2018/10/02/14:20:14.566836;[];0;2833;-14415;8401;-3410;-216;672;-275;-789;1085;34;254;111;0
2018/10/02/14:20:14.579819;[];0;3921;-15375;10689;-3410;-256;700;-275;-789;1085;102;254;111;0
2018/10/02/14:20:14.595818;[];0;4049;-16031;9537;-3428;-264;956;-275;-933;1013;186;254;111;0
2018/10/02/14:20:14.607821;[];0;3185;-16495;8897;-3178;-236;1000;-275;-933;1013;254;254;111;0
2018/10/02/14:20:14.620815;[];0;3713;-16143;9025;-3042;-92;1042;-294;-987;888;66;255;111;0
2018/10/02/14:20:14.632833;[];0;3457;-16527;7425;-2834;-2;1130;-294;-987;888;134;255;111;0
2018/10/02/14:20:14.648814;[];0;3265;-15983;6737;-2672;92;1078;-294;-987;888;202;255;111;0
2018/10/02/14:20:14.660813;[];0;3073;-15551;5937;-2488;238;1080;-339;-1066;802;14;0;112;0
2018/10/02/14:20:14.673825;[];0;2689;-15839;4801;-2368;276;936;-339;-1066;802;82;0;112;0
2018/10/02/14:20:14.685819;[];0;1553;-15535;5393;-2394;444;836;-385;-1096;684;150;0;112;0
2018/10/02/14:20:14.701794;[];0;2145;-15887;-559;-2328;424;840;-385;-1096;684;218;0;112;0
2018/10/02/14:20:14.714972;[];0;577;-16783;4705;-2120;480;686;-385;-1096;684;30;1;112;0
2018/10/02/14:20:14.726822;[];0;1217;-16287;2705;-2026;138;748;-443;-1150;625;98;1;112;0
2018/10/02/14:20:14.738825;[];0;929;-16863;593;-1844;310;632;-443;-1150;625;166;1;112;0
2018/10/02/14:20:14.755822;[];0;1089;-17135;3601;-1556;210;616;-443;-1168;539;251;1;112;0
2018/10/02/14:20:14.767813;[];0;769;-17631;1089;-1228;208;638;-443;-1168;539;63;2;112;0
2018/10/02/14:20:14.783813;[];0;-15;-17695;-463;-866;294;454;-443;-1168;539;131;2;112;0
2018/10/02/14:20:14.796839;[];0;337;-17455;1457;-704;254;312;-482;-1168;486;199;2;112;0
2018/10/02/14:20:14.808820;[];0;337;-17007;1;-526;160;448;-482;-1168;486;11;3;112;0
2018/10/02/14:20:14.820816;[];0;273;-17151;913;-344;284;298;-521;-1174;467;79;3;112;0
2018/10/02/14:20:14.837825;[];0;1185;-18159;1249;-54;112;34;-521;-1174;467;164;3;112;0
2018/10/02/14:20:14.849815;[];0;945;-18607;625;214;226;28;-521;-1174;467;232;3;112;0
2018/10/02/14:20:14.861814;[];0;1121;-18975;1073;512;288;-104;-514;-1168;394;44;4;112;0
2018/10/02/14:20:14.873813;[];0;1089;-19087;977;834;230;100;-514;-1168;394;112;4;112;0
2018/10/02/14:20:14.890800;[];0;865;-18943;1585;1038;216;168;-533;-1216;447;180;4;112;0
2018/10/02/14:20:14.902815;[];0;833;-18591;1937;1266;278;272;-533;-1216;447;248;4;112;0
2018/10/02/14:20:14.914987;[];0;1105;-18591;3121;1572;368;24;-533;-1216;447;60;5;112;0
2018/10/02/14:20:14.927823;[];0;849;-19231;3905;1740;476;-44;-514;-1168;519;128;5;112;0
2018/10/02/14:20:14.939819;[];0;561;-19231;4001;2142;540;88;-514;-1168;519;196;5;112;0
2018/10/02/14:20:14.955823;[];0;-47;-19775;4753;2400;624;-134;-527;-1126;585;8;6;112;0
2018/10/02/14:20:14.968839;[];0;-207;-20127;3873;2820;764;-264;-527;-1126;585;76;6;112;0
2018/10/02/14:20:14.980838;[];0;-15;-19855;5569;3228;606;-184;-527;-1126;585;144;6;112;0
2018/10/02/14:20:14.992744;[];0;-47;-18927;4049;3684;610;-170;-540;-1072;671;212;6;112;0
2018/10/02/14:20:15.009825;[];0;-159;-18559;5361;4094;750;-252;-540;-1072;671;24;7;112;0
2018/10/02/14:20:15.021823;[];0;-63;-17439;6097;4342;526;-312;-618;-975;848;92;7;112;0
2018/10/02/14:20:15.033813;[];0;-719;-15567;5777;4620;518;-362;-618;-975;848;177;7;112;0
2018/10/02/14:20:15.045824;[];0;-943;-14447;7601;4592;464;-630;-618;-975;848;245;7;112;0
2018/10/02/14:20:15.062816;[];0;-143;-12863;9153;4738;456;-754;-618;-843;914;57;8;112;0
2018/10/02/14:20:15.074857;[];0;81;-11551;9857;4880;426;-918;-618;-843;914;125;8;112;0
2018/10/02/14:20:15.086819;[];0;193;-11295;11633;4920;484;-888;-598;-699;1092;193;8;112;0
2018/10/02/14:20:15.099818;[];0;65;-10543;10369;5004;398;-1068;-598;-699;1092;5;9;112;0
2018/10/02/14:20:15.115839;[];0;193;-8943;12465;5104;480;-1238;-598;-699;1092;73;9;112;0
2018/10/02/14:20:15.127826;[];0;209;-8879;11985;4942;420;-1184;-585;-519;1157;141;9;112;0
2018/10/02/14:20:15.140825;[];0;17;-7839;12481;4834;232;-1440;-585;-519;1157;209;9;112;0
2018/10/02/14:20:15.152817;[];0;337;-7247;13553;4592;232;-1386;-579;-363;1236;21;10;112;0
2018/10/02/14:20:15.168803;[];0;-111;-6479;14033;4414;214;-1318;-579;-363;1236;89;10;112;0
2018/10/02/14:20:15.181822;[];0;-447;-5999;13489;4222;144;-1324;-579;-363;1236;157;10;112;0
2018/10/02/14:20:15.193820;[];0;113;-4623;15121;4056;376;-1276;-592;-153;1282;225;10;112;0
2018/10/02/14:20:15.205825;[];0;-175;-4399;14449;3792;402;-1154;-592;-153;1282;37;11;112;0
2018/10/02/14:20:15.218828;[];0;177;-3551;15121;3674;414;-884;-624;-21;1250;105;11;112;0
2018/10/02/14:20:15.234817;[];0;-239;-2783;14913;3578;450;-970;-624;-21;1250;173;11;112;0
2018/10/02/14:20:15.246826;[];0;-1135;-2447;14369;3600;574;-796;-624;-21;1250;2;12;112;0
2018/10/02/14:20:15.259109;[];0;-959;-415;14193;3466;652;-780;-663;141;1190;70;12;112;0
2018/10/02/14:20:15.271841;[];0;-623;-239;15009;3394;580;-714;-663;141;1190;138;12;112;0
2018/10/02/14:20:15.287827;[];0;-863;865;14081;3416;668;-806;-689;255;1203;206;12;112;0
2018/10/02/14:20:15.299828;[];0;-1119;1169;15825;3496;718;-814;-689;255;1203;18;13;112;0
2018/10/02/14:20:15.312817;[];0;-1375;1537;14657;3498;886;-674;-689;255;1203;86;13;112;0
2018/10/02/14:20:15.324825;[];0;-1567;2721;15073;3536;958;-764;-734;405;1164;154;13;112;0
2018/10/02/14:20:15.340824;[];0;-1743;2993;14129;3710;966;-842;-734;405;1164;222;13;112;0
2018/10/02/14:20:15.353828;[];0;-1855;2817;13233;3718;994;-808;-844;519;1046;34;14;112;0
2018/10/02/14:20:15.365848;[];0;-2767;3009;12737;3838;1050;-890;-844;519;1046;102;14;112;0
2018/10/02/14:20:15.377825;[];0;-3583;3281;11825;3902;1126;-834;-844;519;1046;170;14;112;0
2018/10/02/14:20:15.394827;[];0;-3695;3457;10401;4144;1042;-674;-857;645;868;238;14;112;0
2018/10/02/14:20:15.406828;[];0;-4639;4113;9121;4170;878;-540;-857;645;868;50;15;112;0
2018/10/02/14:20:15.418829;[];0;-5215;4769;7905;4166;678;-456;-883;789;763;118;15;112;0
2018/10/02/14:20:15.430825;[];0;-5711;5841;6033;4238;554;-252;-883;789;763;186;15;112;0
2018/10/02/14:20:15.447830;[];0;-5631;6865;5537;4490;344;-268;-883;789;763;15;16;112;0
2018/10/02/14:20:15.459828;[];0;-5551;8241;4177;4512;192;24;-896;909;618;83;16;112;0
2018/10/02/14:20:15.471828;[];0;-5711;9409;3345;4576;116;12;-896;909;618;151;16;112;0
2018/10/02/14:20:15.485037;[];0;-5263;10689;3233;4514;-136;138;-909;981;421;219;16;112;0
2018/10/02/14:20:15.500807;[];0;-4431;11793;2001;4522;-310;242;-909;981;421;31;17;112;0
2018/10/02/14:20:15.512833;[];0;-3919;13569;1665;4342;-362;296;-909;981;421;99;17;112;0
2018/10/02/14:20:15.525832;[];0;-3007;15553;1153;4182;-442;212;-896;1102;309;167;17;112;0
2018/10/02/14:20:15.537842;[];0;-2607;16321;2865;4024;-536;28;-896;1102;309;235;17;112;0
2018/10/02/14:20:15.549819;[];0;-3103;16785;977;3630;-654;212;-870;1096;197;47;18;112;0
2018/10/02/14:20:15.566830;[];0;-2767;16497;2273;3428;-480;34;-870;1096;197;115;18;112;0
2018/10/02/14:20:15.578830;[];0;-2367;16273;977;2944;-410;34;-870;1096;197;183;18;112;0
2018/10/02/14:20:15.590826;[];0;-2111;15873;641;2738;-406;-12;-857;1126;39;251;18;112;0
2018/10/02/14:20:15.603822;[];0;-2031;16865;481;2316;-348;50;-857;1126;39;63;19;112;0
2018/10/02/14:20:15.619827;[];0;-1775;16945;529;2140;-224;96;-877;1108;-6;131;19;112;0
2018/10/02/14:20:15.631830;[];0;-1263;16657;305;2014;-112;260;-877;1108;-6;199;19;112;0
2018/10/02/14:20:15.643845;[];0;-1055;16513;-303;1778;146;336;-877;1108;-6;28;20;112;0
2018/10/02/14:20:15.656833;[];0;-863;17281;-1167;1644;100;294;-851;1132;-92;96;20;112;0
2018/10/02/14:20:15.672833;[];0;-1023;16977;-1007;1434;260;286;-851;1132;-92;164;20;112;0
2018/10/02/14:20:15.684972;[];0;-1311;18257;-1439;1308;258;312;-838;1144;-118;232;20;112;0
2018/10/02/14:20:15.697834;[];0;-1503;18609;-639;1108;360;222;-838;1144;-118;44;21;112;0
2018/10/02/14:20:15.709830;[];0;-1087;17713;-895;906;296;158;-838;1144;-118;112;21;112;0
2018/10/02/14:20:15.725837;[];0;-1311;17553;-1583;572;388;236;-838;1162;-223;180;21;112;0
2018/10/02/14:20:15.738832;[];0;-1919;17569;-2303;444;510;118;-838;1162;-223;248;21;112;0
2018/10/02/14:20:15.750829;[];0;-2079;17569;-2591;176;458;324;-851;1162;-243;60;22;112;0
2018/10/02/14:20:15.762848;[];0;-2079;18049;-3295;-156;444;272;-851;1162;-243;128;22;112;0
2018/10/02/14:20:15.779811;[];0;-1727;18769;-2159;-364;372;422;-851;1162;-243;196;22;112;0
2018/10/02/14:20:15.791827;[];0;-1567;18865;-2255;-486;302;454;-786;1168;-223;8;23;112;0
2018/10/02/14:20:15.803824;[];0;-1343;19041;-1919;-762;300;272;-786;1168;-223;76;23;112;0
2018/10/02/14:20:15.815851;[];0;-1487;19345;-1359;-958;322;364;-760;1162;-250;144;23;112;0
2018/10/02/14:20:15.828840;[];0;-1679;19361;-2095;-1178;160;496;-760;1162;-250;212;23;112;0
2018/10/02/14:20:15.844839;[];0;-1407;19057;-1583;-1584;222;468;-760;1162;-250;24;24;112;0
2018/10/02/14:20:15.856831;[];0;-1631;19377;-975;-1898;388;276;-741;1186;-197;109;24;112;0
2018/10/02/14:20:15.869811;[];0;-1439;18737;-143;-2332;376;302;-741;1186;-197;177;24;112;0
2018/10/02/14:20:15.881826;[];0;-1183;18497;449;-2578;550;254;-747;1204;-131;245;24;112;0
2018/10/02/14:20:15.897850;[];0;-671;17521;1377;-2784;532;228;-747;1204;-131;57;25;112;0
2018/10/02/14:20:15.910830;[];0;-607;17169;1457;-2908;548;238;-747;1204;-131;125;25;112;0
2018/10/02/14:20:15.922829;[];0;-687;16593;2593;-3164;638;292;-715;1198;-6;193;25;112;0
2018/10/02/14:20:15.934841;[];0;-911;16417;2433;-3260;600;418;-715;1198;-6;5;26;112;0
2018/10/02/14:20:15.951831;[];0;-1455;16241;2209;-3410;724;404;-702;1192;125;73;26;112;0
2018/10/02/14:20:15.963829;[];0;-927;16369;4113;-3698;590;672;-702;1192;125;141;26;112;0
2018/10/02/14:20:15.975838;[];0;-1999;16065;2481;-3652;550;942;-702;1192;125;209;26;112;0
2018/10/02/14:20:15.988855;[];0;-1695;15505;4337;-3954;362;834;-669;1168;243;21;27;112;0
2018/10/02/14:20:16.004826;[];0;-1327;15201;4705;-4082;352;938;-669;1168;243;89;27;112;0
2018/10/02/14:20:16.016839;[];0;-1295;14497;5313;-4378;366;974;-663;1132;388;157;27;112;0
2018/10/02/14:20:16.028856;[];0;-655;13921;6705;-4602;242;836;-663;1132;388;225;27;112;0
2018/10/02/14:20:16.041842;[];0;-735;13233;6209;-4742;120;878;-663;1132;388;36;28;112;0
2018/10/02/14:20:16.057836;[];0;113;11729;7793;-4824;92;980;-637;1018;592;121;28;112;0
2018/10/02/14:20:16.069833;[];0;-271;10385;9249;-4814;112;840;-637;1018;592;189;28;112;0
2018/10/02/14:20:16.082829;[];0;-831;9185;9905;-4810;-30;966;-585;939;782;1;29;112;0
2018/10/02/14:20:16.094834;[];0;-351;8177;11185;-4840;-2;890;-585;939;782;69;29;112;0
2018/10/02/14:20:16.110816;[];0;-95;6753;11473;-4890;-36;992;-585;939;782;120;29;112;0
2018/10/02/14:20:16.123830;[];0;945;7041;13201;-4958;-42;1084;-579;813;921;205;29;112;0
2018/10/02/14:20:16.135839;[];0;561;6433;14289;-4922;0;1046;-579;813;921;17;30;112;0
2018/10/02/14:20:16.147835;[];0;593;5713;14625;-5036;116;1060;-566;657;1072;85;30;112;0
2018/10/02/14:20:16.160828;[];0;593;3633;15825;-4986;362;1014;-566;657;1072;153;30;112;0
2018/10/02/14:20:16.176840;[];0;545;2433;14385;-5102;474;816;-566;657;1072;221;30;112;0
2018/10/02/14:20:16.188839;[];0;721;1169;13969;-4964;718;758;-553;483;1203;33;31;112;0
2018/10/02/14:20:16.200836;[];0;433;433;13457;-4994;768;658;-553;483;1203;101;31;112;0
2018/10/02/14:20:16.213829;[];0;-671;-1183;12849;-4862;622;630;-533;273;1256;152;31;112;0
2018/10/02/14:20:16.229838;[];0;-1055;-2239;12497;-4758;520;608;-533;273;1256;237;31;112;0
2018/10/02/14:20:16.241854;[];0;-1071;-3375;12545;-4672;326;674;-533;273;1256;49;32;112;0
2018/10/02/14:20:16.254829;[];0;-511;-4591;12065;-4468;182;876;-572;99;1289;117;32;112;0
2018/10/02/14:20:16.266866;[];0;-207;-6079;13361;-4654;58;606;-572;99;1289;202;32;112;0
2018/10/02/14:20:16.282843;[];0;-319;-7615;14353;-4522;-80;508;-592;-129;1256;14;33;112;0
2018/10/02/14:20:16.299842;[];0;-799;-9631;13393;-4704;-112;532;-592;-129;1256;82;33;112;0
2018/10/02/14:20:16.311838;[];0;-111;-9519;12657;-4772;-242;412;-566;-339;1263;201;33;112;0
2018/10/02/14:20:16.327845;[];0;-431;-10639;13009;-4502;4;500;-566;-339;1263;252;33;112;0
2018/10/02/14:20:16.340838;[];0;97;-12015;11121;-4570;-106;358;-566;-339;1263;47;34;112;0
2018/10/02/14:20:16.352836;[];0;-751;-12623;11393;-4276;-48;462;-598;-519;1151;132;34;112;0
