2018/10/02/14:06:08.012044;[];0;-95;-1295;15617;94;-72;-98;-654;-124;1189;91;182;44;0
2018/10/02/14:06:08.037001;[];0;-191;-1343;15425;236;-62;-84;-654;-84;1236;39;183;44;0
2018/10/02/14:06:08.069962;[];0;305;-1071;15729;430;-216;-116;-610;-65;1162;226;183;44;0
2018/10/02/14:06:08.081894;[];0;193;-1103;15217;378;-192;30;-610;-65;1162;21;184;44;0
2018/10/02/14:06:08.093849;[];0;305;-975;15617;456;-298;72;-610;-65;1162;72;184;44;0
2018/10/02/14:06:08.106298;[];0;-15;-1023;15361;538;-126;92;-642;-78;1175;140;184;44;0
2018/10/02/14:06:08.122958;[];0;-15;-799;15905;676;-220;-14;-642;-78;1175;208;184;44;0
2018/10/02/14:06:08.134856;[];0;-191;-143;15489;656;-208;72;-616;-45;1175;20;185;44;0
2018/10/02/14:06:08.147090;[];0;-799;417;15697;798;-124;-102;-616;-45;1175;88;185;44;0
2018/10/02/14:06:08.159989;[];0;-63;-463;15649;744;50;-38;-616;-45;1175;156;185;44;0
2018/10/02/14:06:08.175899;[];0;97;337;15681;736;-228;-114;-603;-13;1195;224;185;44;0
2018/10/02/14:06:08.188141;[];0;-47;689;15089;640;-60;-164;-603;-13;1195;36;186;44;0
2018/10/02/14:06:08.201165;[];0;-303;193;15553;398;-118;-264;-603;-13;1195;104;186;44;0
2018/10/02/14:06:08.212972;[];0;49;369;14993;442;-72;-240;-629;45;1216;172;186;44;0
2018/10/02/14:06:08.228856;[];0;193;785;15297;172;0;-120;-629;45;1216;240;186;44;0
2018/10/02/14:06:08.242238;[];0;913;881;15217;82;16;-184;-603;32;1189;52;187;44;0
2018/10/02/14:06:08.253946;[];0;-63;-111;15601;-54;-44;-148;-603;32;1189;120;187;44;0
2018/10/02/14:06:08.265881;[];0;449;-111;16657;-112;-68;-142;-603;32;1189;188;187;44;0
2018/10/02/14:06:08.279383;[];0;129;33;16065;-294;-38;-104;-616;19;1202;239;187;44;0
2018/10/02/14:06:08.294983;[];0;177;49;17457;-160;-78;-50;-616;19;1202;68;188;44;0
2018/10/02/14:06:08.306866;[];0;609;417;15361;-180;-92;-72;-584;-26;1162;136;188;44;0
2018/10/02/14:06:08.319226;[];0;705;737;15745;-120;-32;20;-584;-26;1162;221;188;44;0
2018/10/02/14:06:08.332057;[];0;1409;913;17137;-258;-12;72;-571;13;1216;33;189;44;0
2018/10/02/14:06:08.347892;[];0;961;865;14833;-252;-70;-62;-571;13;1216;101;189;44;0
2018/10/02/14:06:08.360027;[];0;1633;257;16705;-286;-64;70;-571;13;1216;169;189;44;0
2018/10/02/14:06:08.373125;[];0;1409;1169;16049;-414;-84;-8;-578;-13;1175;237;189;44;0
2018/10/02/14:06:08.384930;[];0;1393;465;16929;-466;52;8;-578;-13;1175;83;190;44;0
2018/10/02/14:06:08.401175;[];0;961;81;15201;-396;10;20;-603;0;1209;134;190;44;0
2018/10/02/14:06:08.414094;[];0;1217;-591;16449;-498;-68;206;-603;0;1209;185;190;44;0
2018/10/02/14:06:08.425930;[];0;929;-1039;15649;-488;-72;124;-603;0;1209;253;190;44;0
2018/10/02/14:06:08.437870;[];0;1233;-719;16785;-426;90;76;-603;-52;1209;65;191;44;0
2018/10/02/14:06:08.455075;[];0;1425;-1071;15969;-446;-12;-54;-603;-52;1209;133;191;44;0
2018/10/02/14:06:08.466921;[];0;1521;-1039;16097;-438;-4;168;-603;-52;1209;201;191;44;0
2018/10/02/14:06:08.478868;[];0;1249;-1375;16497;-296;-82;-22;-616;-32;1222;13;192;44;0
2018/10/02/14:06:08.491133;[];0;993;-1999;16433;-196;74;120;-616;-32;1222;98;192;44;0
2018/10/02/14:06:08.507972;[];0;1281;-1983;16897;-166;4;238;-629;-65;1195;149;192;44;0
2018/10/02/14:06:08.519869;[];0;1105;-1599;16033;-182;-20;136;-629;-65;1195;217;192;44;0
2018/10/02/14:06:08.532206;[];0;1057;-1519;16145;-70;22;194;-603;-78;1202;46;193;44;0
2018/10/02/14:06:08.545043;[];0;1393;-1407;16545;-120;-12;2;-603;-78;1202;114;193;44;0
2018/10/02/14:06:08.560888;[];0;1281;-1119;16049;-102;0;34;-603;-78;1202;182;193;44;0
2018/10/02/14:06:08.573223;[];0;1153;-1183;16545;-96;50;40;-597;-84;1189;250;193;44;0
2018/10/02/14:06:08.586076;[];0;1185;-847;16433;-94;20;84;-597;-84;1189;62;194;44;0
2018/10/02/14:06:08.597892;[];0;1057;-831;16305;-18;70;28;-584;-71;1182;147;194;44;0
2018/10/02/14:06:08.609831;[];0;1073;-639;16865;-42;92;20;-584;-71;1182;198;194;44;0
2018/10/02/14:06:08.626998;[];0;577;-735;16161;-124;146;30;-584;-71;1182;10;195;44;0
2018/10/02/14:06:08.638891;[];0;673;-847;16529;-294;84;-44;-623;-117;1222;78;195;44;0
2018/10/02/14:06:08.650880;[];0;801;-607;16129;-106;150;-106;-623;-117;1222;146;195;44;0
2018/10/02/14:06:08.663093;[];0;-303;-415;14705;-204;170;104;-623;-117;1222;214;195;44;0
2018/10/02/14:06:08.679905;[];0;-623;17;15201;-332;76;60;-584;-111;1222;26;196;44;0
2018/10/02/14:06:08.691854;[];0;-687;-463;15025;-392;-84;24;-584;-111;1222;94;196;44;0
2018/10/02/14:06:08.709041;[];0;-271;-1455;15345;-414;-202;56;-616;-117;1229;230;196;44;0
2018/10/02/14:06:08.720931;[];0;673;-1647;16561;-386;-214;28;-616;-117;1229;25;197;44;0
2018/10/02/14:06:08.732860;[];0;769;-1471;15665;-312;-28;62;-623;-111;1222;76;197;44;0
2018/10/02/14:06:08.749044;[];0;1041;-1759;15985;-212;-34;-24;-623;-111;1222;127;197;44;0
2018/10/02/14:06:08.761910;[];0;753;-2095;15793;-98;80;-124;-623;-111;1222;212;197;44;0
2018/10/02/14:06:08.773857;[];0;609;-2191;15825;18;102;-4;-623;-163;1175;24;198;44;0
2018/10/02/14:06:08.786372;[];0;689;-2079;15889;-46;26;-148;-623;-163;1175;92;198;44;0
2018/10/02/14:06:08.810922;[];0;-271;-1503;15473;-14;142;-114;-623;-163;1175;143;198;44;0
2018/10/02/14:06:08.822862;[];0;-223;-1775;15441;-152;64;112;-603;-137;1195;40;199;44;0
2018/10/02/14:06:08.835107;[];0;-95;-1599;16065;-176;-36;48;-603;-156;1216;91;199;44;0
2018/10/02/14:06:08.848264;[];0;-79;-1887;16081;-164;-96;162;-603;-156;1216;159;199;44;0
2018/10/02/14:06:08.863836;[];0;-15;-1775;16385;-76;116;-84;-603;-156;1216;227;199;44;0
2018/10/02/14:06:08.876099;[];0;481;-2111;16449;-182;26;124;-635;-163;1243;39;200;44;0
2018/10/02/14:06:08.888937;[];0;481;-1919;15761;-120;24;20;-635;-163;1243;107;200;44;0
2018/10/02/14:06:08.904872;[];0;369;-1839;16257;-102;116;56;-629;-150;1182;175;200;44;0
2018/10/02/14:06:08.922032;[];0;321;-1711;15921;16;258;-24;-629;-150;1182;38;201;44;0
2018/10/02/14:06:08.933902;[];0;33;-1631;15409;-20;176;-152;-623;-169;1216;88;201;44;0
2018/10/02/14:06:08.945846;[];0;129;-1871;15921;-94;228;-136;-623;-169;1216;139;201;44;0
2018/10/02/14:06:08.958395;[];0;257;-1951;16017;-94;246;-62;-623;-169;1216;224;201;44;0
2018/10/02/14:06:08.974913;[];0;529;-2063;15553;-152;232;-66;-610;-150;1175;36;202;44;0
2018/10/02/14:06:08.986860;[];0;609;-2319;15985;-82;252;-240;-610;-150;1175;104;202;44;0
2018/10/02/14:06:08.999196;[];0;577;-2463;15649;-120;308;-254;-603;-169;1202;172;202;44;0
2018/10/02/14:06:09.011971;[];0;721;-2463;15489;-68;258;-212;-603;-169;1202;18;203;44;0
2018/10/02/14:06:09.028105;[];0;497;-2687;15729;4;222;-226;-603;-169;1202;69;203;44;0
2018/10/02/14:06:09.040334;[];0;257;-2543;15137;14;238;-42;-661;-215;1222;120;203;44;0
2018/10/02/14:06:09.053106;[];0;65;-2783;15153;44;226;-50;-661;-215;1222;188;203;44;0
2018/10/02/14:06:09.064872;[];0;-399;-2735;14817;116;80;-16;-648;-150;1189;0;204;44;0
2018/10/02/14:06:09.081165;[];0;-399;-2751;15025;230;-76;6;-648;-150;1189;68;204;44;0
