time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.child_frame_id,.transform.translation.x,.transform.translation.y,.transform.translation.z,.transform.rotation.x,.transform.rotation.y,.transform.rotation.z,.transform.rotation.w
2018/10/02/14:07:47.109111,67683,1538482067,92968327,/world,vicon/IMUframe/IMUframe,-0.267748955446,-0.0212055842671,1.49028134615,-0.0165856698495,-0.00136296486708,0.0408201569426,0.999027913859
2018/10/02/14:07:47.119211,67684,1538482067,102933960,/world,vicon/IMUframe/IMUframe,-0.267815188993,-0.0212017664185,1.49026579056,-0.0166366537157,-0.00154647411495,0.0407851255722,0.999028229683
2018/10/02/14:07:47.129169,67685,1538482067,112904043,/world,vicon/IMUframe/IMUframe,-0.267891403861,-0.0212141084452,1.49024138976,-0.0166823463667,-0.00169952572703,0.0407516388896,0.999028585607
2018/10/02/14:07:47.138987,67686,1538482067,122890155,/world,vicon/IMUframe/IMUframe,-0.267950152982,-0.0212065753282,1.49021099913,-0.016736169477,-0.00188096613714,0.0407905950757,0.999025770414
2018/10/02/14:07:47.148932,67687,1538482067,132853847,/world,vicon/IMUframe/IMUframe,-0.26801526111,-0.0212106781049,1.49018329476,-0.0167803125011,-0.00199313322866,0.0408356128092,0.999022973339
2018/10/02/14:07:47.159294,67688,1538482067,143059040,/world,vicon/IMUframe/IMUframe,-0.268058331901,-0.0212150463972,1.49012782882,-0.016790489222,-0.00204545943657,0.0408851003943,0.999020672525
2018/10/02/14:07:47.169126,67689,1538482067,152941251,/world,vicon/IMUframe/IMUframe,-0.268085059589,-0.0212157526059,1.49008736078,-0.0167890789372,-0.00207314320463,0.0409525697632,0.999017875684
2018/10/02/14:07:47.179012,67690,1538482067,162916456,/world,vicon/IMUframe/IMUframe,-0.268120570488,-0.0212264982209,1.49004562049,-0.0167748314292,-0.00205413731384,0.0410073815279,0.999015905885
2018/10/02/14:07:47.189008,67691,1538482067,172869410,/world,vicon/IMUframe/IMUframe,-0.268128599602,-0.0212433834359,1.48999836126,-0.0166945707884,-0.00203700452066,0.0410537248922,0.999015382059
2018/10/02/14:07:47.199298,67692,1538482067,182953123,/world,vicon/IMUframe/IMUframe,-0.268115849276,-0.021265674489,1.48995167281,-0.016545624553,-0.00202652588672,0.0410969788003,0.99901610289
2018/10/02/14:07:47.209105,67693,1538482067,192960731,/world,vicon/IMUframe/IMUframe,-0.2681142723,-0.0212586571681,1.48991214655,-0.0163970958352,-0.00199636278157,0.0411528190534,0.999016313815
2018/10/02/14:07:47.219083,67694,1538482067,202927541,/world,vicon/IMUframe/IMUframe,-0.268090511356,-0.0212712102172,1.4898701274,-0.0162448277733,-0.00201679472084,0.0412427865291,0.999015050272
2018/10/02/14:07:47.229033,67695,1538482067,212856864,/world,vicon/IMUframe/IMUframe,-0.268064051946,-0.0212820183198,1.48982658471,-0.0161507422117,-0.00210225147204,0.0413815868337,0.999010659771
2018/10/02/14:07:47.238556,67696,1538482067,222931192,/world,vicon/IMUframe/IMUframe,-0.268032512702,-0.0212880003703,1.48978311027,-0.0161075729605,-0.00219656818737,0.0415379749295,0.999004663563
2018/10/02/14:07:47.250667,67697,1538482067,232988181,/world,vicon/IMUframe/IMUframe,-0.268006496995,-0.0212933276129,1.48974591376,-0.0161210797143,-0.00235508653529,0.0416703912188,0.998998569995
2018/10/02/14:07:47.259071,67698,1538482067,242885778,/world,vicon/IMUframe/IMUframe,-0.267976710714,-0.0213083568642,1.48971183396,-0.0161696266928,-0.00252063069683,0.0417980340292,0.99899204899
2018/10/02/14:07:47.269022,67699,1538482067,252843415,/world,vicon/IMUframe/IMUframe,-0.267908907802,-0.0213264132749,1.48966308498,-0.0161420547089,-0.00270938470719,0.0419382193064,0.998986125562
2018/10/02/14:07:47.278657,67700,1538482067,262826349,/world,vicon/IMUframe/IMUframe,-0.267858186685,-0.0213163395133,1.48963609059,-0.0160932313696,-0.00283658479725,0.0420434067255,0.9989821388
2018/10/02/14:07:47.289356,67701,1538482067,273044737,/world,vicon/IMUframe/IMUframe,-0.267798845414,-0.0212934864794,1.48962143757,-0.0159657233119,-0.00294355027551,0.0421733989062,0.99897839597
2018/10/02/14:07:47.298912,67702,1538482067,282959783,/world,vicon/IMUframe/IMUframe,-0.267738016767,-0.0213004296636,1.48959967385,-0.0158346302639,-0.00294510321499,0.0422864266121,0.998975699893
2018/10/02/14:07:47.308841,67703,1538482067,292878523,/world,vicon/IMUframe/IMUframe,-0.267695516798,-0.0212803779204,1.4895898351,-0.0156679391489,-0.0028952459366,0.0424959100088,0.998969584555
2018/10/02/14:07:47.318720,67704,1538482067,302888448,/world,vicon/IMUframe/IMUframe,-0.267635271216,-0.021280039779,1.48958576042,-0.0155594852865,-0.00285909848843,0.0426731448344,0.998963828516
2018/10/02/14:07:47.328888,67705,1538482067,312955042,/world,vicon/IMUframe/IMUframe,-0.267606549488,-0.0212607253422,1.48957380684,-0.0155626060521,-0.00280335575862,0.0428232918031,0.998957512694
2018/10/02/14:07:47.338917,67706,1538482067,322965460,/world,vicon/IMUframe/IMUframe,-0.267566351526,-0.0212456933312,1.48957727259,-0.0156052717291,-0.00280144343175,0.0429355191087,0.998952035189
2018/10/02/14:07:47.348798,67707,1538482067,332860376,/world,vicon/IMUframe/IMUframe,-0.267531990267,-0.0212184759296,1.48957407069,-0.0156985661599,-0.00283319304957,0.0430176575199,0.998946950133
2018/10/02/14:07:47.358739,67708,1538482067,342893866,/world,vicon/IMUframe/IMUframe,-0.267523725063,-0.0211734899869,1.48957316025,-0.0158060674897,-0.00291415199097,0.043087169035,0.998942026252
2018/10/02/14:07:47.368591,67709,1538482067,352974091,/world,vicon/IMUframe/IMUframe,-0.26751462878,-0.0211010305944,1.48955585439,-0.0159179663344,-0.00303757191008,0.0430441905846,0.998941734618
2018/10/02/14:07:47.378863,67710,1538482067,362916185,/world,vicon/IMUframe/IMUframe,-0.267542756393,-0.0210093620635,1.48953475643,-0.0160230995732,-0.0031431431017,0.0429693866266,0.998942947692
2018/10/02/14:07:47.388595,67711,1538482067,373031532,/world,vicon/IMUframe/IMUframe,-0.267571667733,-0.020953084217,1.48953596488,-0.0161806237743,-0.00323518089146,0.0428984666561,0.998943162836
2018/10/02/14:07:47.398771,67712,1538482067,382886827,/world,vicon/IMUframe/IMUframe,-0.267611534378,-0.020881994206,1.48952489492,-0.0163204433634,-0.00331348807772,0.042711646948,0.998948636888
2018/10/02/14:07:47.408811,67713,1538482067,392867587,/world,vicon/IMUframe/IMUframe,-0.267635719179,-0.0208303656766,1.48950434579,-0.0163842753872,-0.00339779463705,0.0425667941755,0.998953491683
2018/10/02/14:07:47.419034,67714,1538482067,402993080,/world,vicon/IMUframe/IMUframe,-0.267671774451,-0.0207649738981,1.48948098779,-0.0164113450961,-0.00347108581411,0.0423630133981,0.998961457921
2018/10/02/14:07:47.428743,67715,1538482067,412914900,/world,vicon/IMUframe/IMUframe,-0.267686612176,-0.0207185081594,1.48946201727,-0.0163509264066,-0.00350652414831,0.0421896389004,0.998969662134
2018/10/02/14:07:47.438489,67716,1538482067,422878635,/world,vicon/IMUframe/IMUframe,-0.267723515216,-0.0206676503553,1.48944481227,-0.0162455114023,-0.00351670951937,0.0420594400684,0.998976836375
2018/10/02/14:07:47.448498,67717,1538482067,432882333,/world,vicon/IMUframe/IMUframe,-0.267713858934,-0.0205077255241,1.48946146638,-0.0160386366686,-0.00343526156144,0.0415862910696,0.999000271024
2018/10/02/14:07:47.458705,67718,1538482067,442972095,/world,vicon/IMUframe/IMUframe,-0.267754093151,-0.0204887269675,1.48945655225,-0.015979602929,-0.00339656790948,0.0415283111304,0.99900376125
2018/10/02/14:07:47.468742,67719,1538482067,452925722,/world,vicon/IMUframe/IMUframe,-0.267827750279,-0.0205963740166,1.48943412959,-0.0160437382479,-0.00338175400956,0.0419463734145,0.99898531719
2018/10/02/14:07:47.478715,67720,1538482067,462910085,/world,vicon/IMUframe/IMUframe,-0.267855166206,-0.0206023689877,1.48944559973,-0.0160394427917,-0.00332813284126,0.0420229340254,0.998982348604
2018/10/02/14:07:47.488545,67721,1538482067,472853260,/world,vicon/IMUframe/IMUframe,-0.267889757016,-0.0206244818346,1.48945002512,-0.0160564940601,-0.00328695796227,0.0421397353936,0.998977290836
